stationId,latitude,longitude,products
KWIWAUNA47,43.127,-89.444,pws
KWIMADIS87,43.08879,-89.48197,pws
KWIMADIS179,43.12962,-89.38573,pws
KWIMADIS270,43.106,-89.357,pws
KWIMADIS297,43.117,-89.359,pws
KWIMADIS225,43.1008,-89.3572,pws
KWIMADIS233,43.11,-89.352,pws
KWIMADIS449,43.10983,-89.35181,pws
KWIMADIS395,43.103,-89.335,pws
KWIMADIS361,43.09938,-89.34544,pws
KWIMADIS392,43.114,-89.29,pws
KWIMADIS309,43.116,-89.297,pws
KWIMADIS402,43.104,-89.304,pws
KWIMADIS385,43.116,-89.301,pws
KWIMADIS355,43.118,-89.268,pws
KWIMADIS452,43.118,-89.268,pws
KWISUNPR28,43.15192,-89.17207,pws
KWIMARSH39,43.128,-89.097,pws
KWIMAZOM13,43.16989,-89.6977,pws
KWIMAZOM14,43.17,-89.698,pws
KWIMAZOM9,43.17012,-89.69704,pws
KWICROSS24,43.17345,-89.63109,pws
KWIMIDDL59,43.146,-89.563,pws
KWIMIDDL34,43.14648,-89.56273,pws
KWICROSS13,43.18,-89.591,pws
KWIWAUNA49,43.166,-89.446,pws
KWIWAUNA25,43.17145,-89.45201,pws
KWIWAUNA50,43.171,-89.441,pws
KWIWAUNA4,43.15738,-89.4196,pws
KWIMADIS199,43.14614,-89.38692,pws
KWIMADIS450,43.136,-89.364,pws
KWIWAUNA31,43.1764,-89.44683,pws
KWIMADIS421,43.14,-89.362,pws
KWIMADIS104,43.15784,-89.3663,pws
KWIMADIS369,43.133,-89.313,pws
KWIMADIS208,43.12967,-89.31298,pws
KWIMADIS119,43.13776,-89.30936,pws
KWIMADIS454,43.12637,-89.31505,pws
KWIMADIS118,43.1433,-89.3084,pws
KWIMADIS378,43.144,-89.307,pws
KWISUNPR84,43.153,-89.269,pws
KWISUNPR87,43.157,-89.259,pws
KWISUNPR61,43.163,-89.261,pws
KWISUNPR63,43.163,-89.261,pws
KWISUNPR59,43.164,-89.254,pws
KWISUNPR55,43.16909,-89.26605,pws
KWISUNPR14,43.16592,-89.28373,pws
KWISUNPR77,43.152,-89.172,pws
KWISUNPR65,43.174,-89.2,pws
KWIMARSH43,43.147,-89.041,pws
KWIMAZOM4,43.19384,-89.69188,pws
KWIMAZOM5,43.19998,-89.75446,pws
KWIMAZOM24,43.153,-89.805,pws
KWIDANE6,43.199,-89.554,pws
KWIWAUNA42,43.183,-89.469,pws
KWIWAUNA43,43.18,-89.467,pws
KWIWAUNA41,43.188,-89.47,pws
KWIWAUNA40,43.18523,-89.45984,pws
KWIWAUNA34,43.19872,-89.4743,pws
KWIWAUNA15,43.20173,-89.47603,pws
KWIWAUNA57,43.183,-89.453,pws
KWIMADIS425,43.17287,-89.3483,pws
KWIWAUNA18,43.20785,-89.3808,pws
KWIWINDS10,43.206,-89.348,pws
KWIWAUNA30,43.21268,-89.38052,pws
KWIMADIS248,43.176,-89.29,pws
KWIMADIS273,43.176,-89.29,pws
KWIMADIS295,43.176,-89.29,pws
KWIMADIS324,43.17102,-89.28853,pws
KWIMADIS340,43.164,-89.287,pws
KWISUNPR29,43.16592,-89.28373,pws
KWISUNPR42,43.17881,-89.28103,pws
KWISUNPR7,43.17769,-89.27909,pws
KWISUNPR116,43.18575,-89.27868,pws
KWISUNPR79,43.181,-89.252,pws
KWISUNPR92,43.181,-89.257,pws
KWISUNPR85,43.188,-89.238,pws
KWISUNPR86,43.18521,-89.23,pws
KWISUNPR112,43.184,-89.207,pws
KWISUNPR113,43.184,-89.207,pws
KWISUNPR3,43.19336,-89.21725,pws
KWISUNPR115,43.191,-89.227,pws
KWISUNPR43,43.19153,-89.23526,pws
KWISUNPR111,43.201,-89.224,pws
KWIMARSH2,43.17645,-89.03348,pws
KWISAUKC14,43.252,-89.711,pws
KWISAUKC20,43.25,-89.682,pws
KWISAUKC9,43.26067,-89.71527,pws
KWISAUKC16,43.242,-89.654,pws
KWISAUKC17,43.242,-89.654,pws
KWIDANE7,43.24448,-89.49056,pws
